بزم|مونث)سبھا-محفل-مجلس۔)
جابجا|ہرجا-ہرکہیں-ہرمقام پر۔
راغب|مائل-خواہش مند۔
سالم|پورا-صحیح-سلامت۔
فراق|مونث)جدائ-ہجر-فکر۔)
آپڑنآ|آموجود ہونا۔
آپہنچنا|منزل طے کرنا۔
آجانا|سيکھ لينا-پہنج جانا۔
آلگنا|قريب آجانا-پہنج جانا۔
آرہاہے|قريب پہنج جانا۔
آب آجانا|رونق آجانا۔
آب آخرت|غسل ميت۔
آب داری|چمک دمک-جلا۔
آب دان|پانی کا برتن۔
آبدست|طہارت کرلينا۔
آبدندان|دانتوں کی چمک۔
آبرحمت|بارش-بخشش۔
آبرواں|بہتا ہوا پانی۔
آبزمزم|زمزم کاپانی۔
آبوتاب|چمک دمک روشنی۔
آبورنگ|روپ-خوبصورتی۔
آبشرم|شرمندگی کا پانی۔
آبشار|اونچی جگہ سے بہتا ہوا پانی۔
آبشورہ|سمندر کا پانی۔
آبکوثر|حوض  کوثر کا پانی۔
آبوہوا|پانی اور ہوا۔
آباد|بسا  ہوا۔
آپ|خود اپنی ذات۔
آپسداری|رشتہ داری۔
آتا|آنے والا۔
آتے|چلے آنا۔
آج|وقت حاضر۔
آخر|انجام۔
آراستہ|درست کرنا۔
آرام|ٹھراو۔
آساہش|راحت۔
اپنا|خود کا۔
اترجانا|ڈھل جانا۔
اتنا|تعت اد۔
اجلاس|اٹھنے بيٹھنے کي جگہ۔
اچانک|يکا يک۔
اچھا|مناسب۔
احاطہ|گھيراو۔
احترام|عزت-حرمت۔
احتساب|حساب۔
احسان|بھلایی کرنا۔
اخراجات|بہت سے خرچے۔
اخلاص|پاک صاف۔
اخوت|بھا ہی چارہ۔
اذکار|قصے کہانياں۔
ازدواج|شادی کرنا۔
ازل|شروع۔
اس|اشارہ دينا۔
استحصال|حاصل کرنا۔
استحقاق|حق طلب کرنا۔
استحکام|مضبوطی۔
استخارہ|طلب خير۔
استدلال|دليل چاہنا۔
استطاعت|دسترس۔
استعجاب|تعجب-حيرانی۔
استعفا|ترک ملازمت کرن۔
استعمال|کام ميں لانا۔
